# Input,ChemicalName,ChemicalId,CasRN,GeneSymbol,GeneId,Organism,OrganismId,PubMedIds
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNH3,23416,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNH4,23415,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNH5,27133,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNH6,81033,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNH7,90134,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNIP1,30820,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNIP2,30819,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNIP3,30818,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNJ10,3766,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNJ11,3767,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNJ13,3769,Homo sapiens,9606,34973136
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNJ13,3769,Rattus norvegicus,10116,30012374
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNJ14,3770,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNJ3,3760,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNJ3,3760,Rattus norvegicus,10116,30012374
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNJ4,3761,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNJ6,3763,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNJ8,3764,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNJ9,3765,Mus musculus,10090,29950665|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNK10,54207,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNK12,56660,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNK13,56659,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNK15,60598,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNK18,338567,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNK2,3776,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNK3,3777,Mus musculus,10090,23557971|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNK4,50801,Mus musculus,10090,29950665|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNK5,8645,Mus musculus,10090,29950665|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNK9,51305,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNMA1,3778,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNMB2,10242,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNMB2,10242,Rattus norvegicus,10116,30012374
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNMB3,27094,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNMB4,27345,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNMB4OS1,67342,Mus musculus,10090,29264374
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNN1,3780,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNN2,3781,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNQ1,3784,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNQ1OT1,10984,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNQ2,3785,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNQ3,3786,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNQ4,9132,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNQ5,56479,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNRG,283518,Mus musculus,10090,23131501
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNS1,3787,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNS2,3788,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNS3,3790,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNT1,57582,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNT2,343450,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNV1,27012,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCP,375616,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCTD1,284252,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCTD10,83892,Mus musculus,10090,23557971|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCTD11,147040,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCTD12,115207,Mus musculus,10090,23557971|29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCTD12B,207474,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,KCTD13,253980,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCTD14,65987,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCTD15,79047,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCTD17,79734,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCTD18,130535,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCTD19,146212,Mus musculus,10090,29264374
13463-67-7,titanium dioxide,C009495,13463-67-7,KCTD20,222658,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCTD21,283219,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCTD5,54442,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCTD6,200845,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCTD8,386617,Mus musculus,10090,23557971|35295148
